what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.pde.launching,3.6.0.v20100601,"org.eclipse.pde.launching",1300130147803
started,bundle,org.eclipse.pde.ui,3.6.1.v20110210_r362,"org.eclipse.pde.ui",1300130147803
os,sysinfo,,,"linux",1300130147808
arch,sysinfo,,,"x86",1300130147808
ws,sysinfo,,,"gtk",1300130147808
locale,sysinfo,,,"en_US",1300130147808
processors,sysinfo,,,"1",1300130147808
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1300130147808
java.runtime.version,sysinfo,,,"1.6.0_24-b07",1300130147808
java.specification.name,sysinfo,,,"Java Platform API Specification",1300130147808
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1300130147808
java.specification.version,sysinfo,,,"1.6",1300130147808
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1300130147808
java.version,sysinfo,,,"1.6.0_24",1300130147808
java.vm.info,sysinfo,,,"mixed mode, sharing",1300130147808
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1300130147808
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1300130147808
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1300130147808
java.vm.specification.version,sysinfo,,,"1.0",1300130147808
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1300130147808
java.vm.version,sysinfo,,,"19.1-b02",1300130147808
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1300130149658
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1300130149706
closed,view,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.internal.introview",1300130149726
activated,view,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui.views.tasks",1300130153580
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1300130153609
closed,view,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui.views.tasks",1300130153624
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.ContentOutline",1300130154648
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1300130154663
closed,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.ContentOutline",1300130154671
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300130161198
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1300130169665
started,bundle,org.eclipse.jdt.launching,3.5.200.v20110105_r362,"org.eclipse.jdt.launching",1300130169670
started,bundle,org.eclipse.pde.core,3.6.2.v20110210_r362,"org.eclipse.pde.core",1300130169713
started,bundle,org.eclipse.pde.ui.templates,3.4.200.v20100601,"org.eclipse.pde.ui.templates",1300130213730
started,bundle,org.eclipse.pde,3.6.1.v201102101200,"org.eclipse.pde",1300130213842
started,bundle,org.eclipse.equinox.simpleconfigurator.manipulator,2.0.0.v20100503,"org.eclipse.equinox.simpleconfigurator.manipulator",1300130213849
started,bundle,org.eclipse.equinox.frameworkadmin,2.0.0.v20100503,"org.eclipse.equinox.frameworkadmin",1300130213854
started,bundle,org.eclipse.equinox.frameworkadmin.equinox,1.0.200.v20100505,"org.eclipse.equinox.frameworkadmin.equinox",1300130214625
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1300130214642
opened,view,org.eclipse.ui.views.log,1.0.100.v20110210_r362,"org.eclipse.pde.runtime.LogView",1300130230169
opened,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.ContentOutline",1300130230195
activated,perspective,org.eclipse.pde.ui,3.6.1.v20110210_r362,"org.eclipse.pde.ui.PDEPerspective",1300130230233
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300130231389
started,bundle,org.eclipse.ltk.core.refactoring,3.5.101.r362_v20101117-0800,"org.eclipse.ltk.core.refactoring",1300130232252
started,bundle,org.eclipse.jdt.apt.core,3.3.402.R36_v20110120-1000,"org.eclipse.jdt.apt.core",1300130232392
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.301.R36_v20100727-0110,"org.eclipse.jdt.apt.pluggable.core",1300130232413
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1300130235634
started,bundle,org.eclipse.pde.build,3.6.2.R36x_20110203,"org.eclipse.pde.build",1300130235690
opened,editor,org.eclipse.pde.ui,3.6.1.v20110210_r362,"org.eclipse.pde.ui.manifestEditor",1300130237762
activated,editor,org.eclipse.pde.ui,3.6.1.v20110210_r362,"org.eclipse.pde.ui.manifestEditor",1300130237959
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.ContentOutline",1300130241231
activated,editor,org.eclipse.pde.ui,3.6.1.v20110210_r362,"org.eclipse.pde.ui.manifestEditor",1300130241239
opened,view,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui.views.tasks",1300130241476
closed,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.ContentOutline",1300130241542
started,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1300130241564
started,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1300130241576
started,bundle,org.eclipse.mylyn.resources.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.resources.ui",1300130241589
started,bundle,org.eclipse.mylyn.wikitext.tasks.ui,1.3.1.v20100823-0100-e3x,"org.eclipse.mylyn.wikitext.tasks.ui",1300130241592
started,bundle,org.eclipse.mylyn.wikitext.core,1.3.1.v20100823-0100-e3x,"org.eclipse.mylyn.wikitext.core",1300130241618
started,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1300130241632
activated,view,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui.views.tasks",1300130242914
activated,editor,org.eclipse.pde.ui,3.6.1.v20110210_r362,"org.eclipse.pde.ui.manifestEditor",1300130242939
closed,view,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui.views.tasks",1300130243003
activated,view,org.eclipse.ui.views.log,1.0.100.v20110210_r362,"org.eclipse.pde.runtime.LogView",1300130246041
activated,editor,org.eclipse.pde.ui,3.6.1.v20110210_r362,"org.eclipse.pde.ui.manifestEditor",1300130246094
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300130258343
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300130358060
started,bundle,org.eclipse.help.base,3.5.3.v201102101200,"org.eclipse.help.base",1300130383420
started,bundle,org.eclipse.help.ui,3.5.3.r36_20101116,"org.eclipse.help.ui",1300130383429
started,bundle,org.eclipse.equinox.http.jetty,2.0.0.v20100503,"org.eclipse.equinox.http.jetty",1300130383462
started,bundle,org.eclipse.equinox.http.servlet,1.1.0.v20100503,"org.eclipse.equinox.http.servlet",1300130383501
started,bundle,org.eclipse.equinox.http.registry,1.1.1.R36x_v20101103,"org.eclipse.equinox.http.registry",1300130383643
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300130383735
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.help.helpContents",1300130384116
started,bundle,org.eclipse.equinox.jsp.jasper.registry,1.0.200.v20100503,"org.eclipse.equinox.jsp.jasper.registry",1300130384190
started,bundle,org.eclipse.equinox.jsp.jasper,1.0.201.R36x_v20101103,"org.eclipse.equinox.jsp.jasper",1300130384198
started,bundle,org.eclipse.help.webapp,3.5.3.r36_20101130,"org.eclipse.help.webapp",1300130385627
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300130417576
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300130418928
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300130449372
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1300130451569
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1300130454445
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1300130454649
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1300130454741
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1300130454811
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300130455875
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300130537417
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300130538279
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300130543980
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300130544335
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300130545343
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300130552802
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300130557924
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300130558347
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300130560580
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300130561080
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300130562991
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300130564283
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300130565239
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1300130568590
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1300130569287
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1300130569497
activated,editor,org.eclipse.pde.ui,3.6.1.v20110210_r362,"org.eclipse.pde.ui.manifestEditor",1300130572728
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300130575341
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300130615005
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300130618745
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300130640461
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300130674429
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300130676276
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300130676963
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300130744444
opened,view,org.eclipse.pde.ui,3.6.1.v20110210_r362,"org.eclipse.pde.ui.PluginsView",1300130746127
activated,view,org.eclipse.pde.ui,3.6.1.v20110210_r362,"org.eclipse.pde.ui.PluginsView",1300130746162
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300130752962
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300130771847
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300130792962
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300130810281
no handler,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.findReplace",1300130818413
opened,view,org.eclipse.pde.ui,3.6.1.v20110210_r362,"org.eclipse.pde.ui.DependenciesView",1300130829513
activated,view,org.eclipse.pde.ui,3.6.1.v20110210_r362,"org.eclipse.pde.ui.DependenciesView",1300130829549
activated,view,org.eclipse.pde.ui,3.6.1.v20110210_r362,"org.eclipse.pde.ui.PluginsView",1300130835259
closed,view,org.eclipse.pde.ui,3.6.1.v20110210_r362,"org.eclipse.pde.ui.DependenciesView",1300130835284
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300130837009
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300130881072
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300130885364
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300130937071
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300130969826
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300131002988
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300131005200
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300131006433
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1300131010074
activated,editor,org.eclipse.pde.ui,3.6.1.v20110210_r362,"org.eclipse.pde.ui.manifestEditor",1300131017865
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300131027221
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300131039311
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300131040848
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300131050224
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300131051151
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300131053748
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300131056196
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300131066504
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300131067580
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300131077713
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300131078746
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300131080652
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300131081872
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300131099091
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300131100365
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300131109306
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1300131124406
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300131129951
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300131154264
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300131162261
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300131163324
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300131163657
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300131178400
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1300131180032
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1300131180534
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300131185205
started,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1300131224860
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300131226659
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1300131226858
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1300131226944
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300131231257
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300131232695
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300131234780
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300131269453
